Soil type,Crop,Latitude,Longitude,pH,P,K,S,OC,EC,Fertilizer Name,predictions_pH,predictions_P,predictions_K,predictions_S,predictions_OC
SandySoil,Groundnut,15.51,77.56,8.14,4.67,99,9.49,0.27,0.22,Urea,7.460874087,13.65065896,142.3855218,43.81461553,0.499622582
RedSoil,Cotton,15.51,77.55,8.75,5.58,54,4.69,0.2,0.25,DAP,7.415812985,10.27180921,128.4991999,18.00985963,0.379860429
RedSoil,Cotton,15.54,77.55,7.12,13.16,48,4.92,0.18,0.21,14-35-14,7.351821079,7.562308126,136.7806081,12.76818106,0.347929105
SandySoil,Groundnut,15.51,77.55,6.68,17.27,85,12.4,0.16,0.15,28-28,7.351754238,6.766739614,101.4260074,11.04845751,0.4005999
RedSoil,Cotton,15.5,77.54,5.86,39.02,69,3.51,0.23,0.05,Urea,7.437856238,7.643381755,93.56717865,13.05075295,0.44317498
RedSoil,Groundnut,15.51,77.57,7.4,5.8,54,2.18,0.11,0.07,17-17-17,7.388163492,8.12828907,114.4038571,35.23955855,0.519516335
RedSoil,Cotton,15.51,77.57,8.12,27.5,130,18.78,0.41,0.52,20-20,7.385416948,5.640411875,87.7925349,-0.608253386,0.372825278
RedSoil,Cotton,15.5,77.56,8.14,28.61,62,57.73,0.3,1.28,Urea,7.439819853,14.02588628,183.5107956,53.04691449,0.474543662
RedSoil,Groundnut,15.51,77.55,7.86,8.03,66,4.3,0.22,0.18,28-28,7.360595447,10.70953424,173.0522986,40.86650717,0.459696484
RedSoil,Groundnut,15.51,77.55,6.59,33.27,71,4.74,0.2,0.11,14-35-14,7.36927594,8.165155709,119.0081464,13.82467871,0.378281795
BlackSoil,Groundnut,15.51,77.57,7.2,9.96,63,4.64,0.17,0.13,DAP,7.400861805,7.7703901,121.2940223,30.29363472,0.488281697
RedSoil,Cotton,15.51,77.57,8,17.94,99,8.22,0.29,0.26,17-17-17,7.383564027,7.054636202,97.19796137,8.267141846,0.39564438
RedSoil,Groundnut,15.51,77.55,6.18,22.61,65,3.43,0.16,0.06,Urea,7.415023631,10.59402625,148.2051512,31.42541466,0.426033699
RedSoil,Cotton,15.5,77.56,7.5,109.09,709,28.6,1.01,1.13,28-28,7.397883054,6.753550753,87.77909953,14.95282048,0.457123009
RedSoil,Groundnut,15.5,77.56,6.75,21.5,98,7.46,0.29,0.16,DAP,8.41112736,43.28573294,377.3582328,208.0194371,1.040927273
RedSoil,Cotton,15.51,77.57,6.46,46.76,108,11.09,0.35,0.18,17-17-17,7.414724311,10.36000735,119.5863981,29.60341251,0.460335489
RedSoil,Groundnut,15.51,77.55,7.55,21.04,70,1.92,0.22,0.12,Urea,7.426846705,11.81702992,159.7969463,57.51865882,0.555797923
SandySoil,Cotton,15.5,77.56,8.31,22,71,10.49,0.21,0.44,28-28,7.383550658,8.192416017,130.8641785,24.70447918,0.42827065
RedSoil,Cotton,15.51,77.55,8.13,17,74,5.17,0.27,0.31,Urea,7.392852784,8.335600872,152.2855747,27.79325326,0.421048813
RedSoil,Oil Crops,15.5,77.54,7.95,4.59,110,2.81,0.33,0.14,DAP,7.371338233,9.399121284,147.3752118,28.05323715,0.407236713
RedSoil,Vegetables,15.51,77.55,8.4,30.68,100,19.08,0.25,0.56,20-20,7.412445787,11.55381099,130.9776292,23.13456318,0.385923741
BlackSoil,Cotton,15.5,77.56,6.86,20.64,84,4.33,0.31,0.14,17-17-17,7.44303259,10.17706148,174.3578079,41.15585596,0.465481132
RedSoil,Groundnut,15.51,77.54,6.97,11.21,86,3.74,0.18,0.1,DAP,7.377678502,10.24366243,123.7881485,30.37971828,0.447470869
BlackSoil,Cotton,15.5,77.55,6.52,12.11,78,3.16,0.19,0.08,Urea,7.425887443,7.902451868,94.18849421,10.51843975,0.414866044
RedSoil,Groundnut,15.5,77.53,8.41,25.4,146,26.7,0.33,0.58,20-20,7.406445962,7.758881705,84.63191883,10.04200014,0.422133403
RedSoil,Oil Crops,15.51,77.55,7.16,17.3,80,4.34,0.21,0.19,28-28,7.503776939,13.2558946,177.6796805,45.84136304,0.472923669
RedSoil,Cotton,15.51,77.55,6.7,13.77,70,5.07,0.19,0.15,14-35-14,7.406050611,8.312346826,113.0927348,19.28829715,0.428869614
RedSoil,Groundnut,15.51,77.54,6.76,13.23,95,2.25,0.25,0.06,Urea,7.392100421,7.577569376,92.27565499,11.89787261,0.421145827
RedSoil,Cotton,15.5,77.53,7.84,13.53,87,4.85,0.28,0.13,DAP,7.417675342,9.415653098,101.0890673,18.29474767,0.429270771
RedSoil,Cotton,15.51,77.55,7.84,18.74,116,23.89,0.29,0.48,20-20,7.39137421,9.938996176,135.3326013,25.2430539,0.40728549
LoamySoil,Cotton,15.5,77.55,6.49,23.4,60,1.69,0.17,0.05,28-28,7.454718636,11.43559265,145.9968342,32.34782367,0.445833221
RedSoil,Oil Crops,15.51,77.55,8.31,9.53,102,3.11,0.39,0.2,DAP,7.383948669,6.791972214,98.76123495,17.58587369,0.450898052
LoamySoil,Cotton,15.5,77.53,7.44,14.12,190,6.04,0.41,0.14,Urea,7.376446004,12.47588493,156.7960011,34.14903526,0.391865152
RedSoil,Groundnut,15.5,77.54,8.88,11.28,95,16.98,0.24,0.37,14-35-14,7.547450188,15.51972414,143.1296316,40.97538235,0.466998475
,,15.51,77.55,8,3.97,52,3.54,0.11,0.15,28-28,7.425524945,9.862789801,155.47212,24.14703368,0.388936185
RedSoil,Groundnut,15.47,77.54,8.41,4.1,54,3.83,0.15,0.14,Urea,7.380904231,5.696849381,101.3964801,0.033542158,0.355134638
LoamySoil,Cotton,15.49,77.53,8.79,15.72,105,11.17,0.29,0.26,14-35-14,7.369791294,6.56724664,118.2847837,5.519787411,0.349016132
LoamySoil,Cotton,15.49,77.53,8.51,21.09,124,9.72,0.29,0.21,DAP,7.426766154,10.96205808,166.4823066,32.86756238,0.407988683
RedSoil,Groundnut,15.48,77.55,7.6,7.9,95,12.24,0.24,0.26,17-17-17,7.467017052,11.48087326,167.1919021,37.59610202,0.439672176
RedSoil,Groundnut,15.47,77.55,6.28,24.78,75,7.02,0.23,0.11,DAP,7.422027593,9.570087472,114.8834859,15.88755843,0.399734827
LoamySoil,Groundnut,15.49,77.55,8.87,3.25,43,1.75,0.1,0.12,20-20,7.393503213,8.453102224,103.6855081,24.16524607,0.468667022
RedSoil,Millets,15.48,77.55,8.21,5.17,79,3.05,0.17,0.14,14-35-14,7.365796795,5.322869025,122.582116,1.534428702,0.331523039
RedSoil,Cotton,15.48,77.55,7.61,13.64,101,10.76,0.29,0.15,28-28,7.412221003,7.669572022,117.1835995,8.729059381,0.368095787
RedSoil,Groundnut,15.48,77.55,6.65,11.02,82,4.07,0.28,0.76,Urea,7.417523362,10.65256629,130.923889,26.00742855,0.420946473
LoamySoil,Cotton,15.48,77.54,9.43,1.94,60,6.14,0.15,0.27,DAP,7.379777429,9.588935147,98.80280077,17.89917306,0.418377657
RedSoil,Groundnut,15.48,77.54,6.85,13.74,55,5.72,0.16,0.07,14-35-14,7.381344996,6.955884751,142.9076461,7.944018815,0.3266486
LoamySoil,Cotton,15.48,77.54,8.4,38.01,118,25.28,0.44,0.66,20-20,7.373910494,6.591241686,92.27425739,9.027205274,0.411240375
RedSoil,Millets,15.48,77.55,6.34,5.09,59,3.08,0.11,0.06,28-28,7.412514291,14.38888196,212.1716727,65.93950605,0.500875976
,,15.52,77.6,6.43,16.77,87,5.29,0.24,0.09,Urea,7.395288102,5.657203866,57.74638471,-5.286822618,0.39295137
,,15.52,77.6,6.9,15.3,190,9.94,0.35,0.28,14-35-14,7.408569202,8.997274417,96.44808104,18.91528863,0.444440648
RedSoil,Groundnut,15.48,77.54,7.21,15.18,136,6.23,0.3,0.21,28-28,7.572345622,14.41171024,122.2621663,34.45659947,0.482440016
LoamySoil,Cotton,15.48,77.54,7.98,7.1,66,4.94,0.18,0.15,20-20,7.482625753,11.77087198,123.5125458,28.42788566,0.448727332
BlackSoil,Cotton,15.48,77.54,7.18,16.23,112,5.87,0.21,0.12,Urea,7.384251643,7.456095573,115.4056007,9.83895585,0.373204545
RedSoil,Groundnut,15.49,77.55,7.35,19.35,150,7.45,0.39,0.18,DAP,7.469666974,9.344693971,112.0446556,19.95646715,0.441016336
RedSoil,Cotton,15.52,77.6,7.98,25.36,89,7.68,0.32,0.22,17-17-17,7.478849394,13.92048835,146.2506951,41.64031203,0.467204492
RedSoil,Cotton,15.53,77.6,8.6,4.79,157,6.82,0.27,0.22,28-28,7.387562554,10.82356054,163.3943923,40.3726285,0.445990957
RedSoil,Groundnut,15.52,77.6,7.12,19.12,105,5.65,0.45,0.17,Urea,7.530361915,12.08946543,141.1101138,22.81782929,0.39876607
RedSoil,Groundnut,15.53,77.59,7.82,47.95,75,6.64,0.23,0.17,20-20,7.365662125,13.55720061,147.6821089,43.7204647,0.448253993
RedSoil,Cotton,15.53,77.59,6.76,11.31,68,5.2,0.22,0.1,17-17-17,7.406087741,8.674818864,182.223135,51.6246964,0.516783927
BlackSoil,Cotton,15.52,77.6,8.32,22.33,62,14.64,0.26,0.31,DAP,7.375367502,8.08255039,94.1460982,12.49754275,0.410944621
RedSoil,Groundnut,15.52,77.6,5.6,18.57,43,2.71,0.13,0.04,Urea,7.357483192,9.071676456,160.1401204,32.2154364,0.419173844
RedSoil,Groundnut,15.52,77.6,8.04,7.58,126,6.58,0.44,0.21,20-20,7.363089096,5.410886556,61.43042237,5.118462964,0.443580365
BlackSoil,Groundnut,15.52,77.6,6.29,12.78,61,4.5,0.22,0.1,28-28,7.405252767,14.18327934,153.3684835,36.96937429,0.403348554
BlackSoil,Cotton,15.52,77.59,7.38,22.8,82,9.64,0.28,0.2,10-26-26,7.362003157,7.779389924,83.56826012,11.60824898,0.420914821
RedSoil,Cotton,15.52,77.59,7.89,47.36,108,24.48,0.39,0.33,Urea,7.388172463,9.81734134,137.6183742,31.64653226,0.446010143
RedSoil,Groundnut,15.52,77.6,5.97,6.68,63,2.01,0.15,0.03,DAP,7.416551067,13.05830978,206.0709548,67.44920498,0.536257875
RedSoil,Groundnut,15.53,77.59,6.38,30.69,251,14.02,0.42,0.24,20-20,7.388484818,6.444296232,55.52726466,-1.507265703,0.406644215
RedSoil,Groundnut,15.53,77.6,7.1,14.22,82,5.61,0.13,0.1,14-35-14,7.676870588,17.61748136,142.0455975,55.79640264,0.574277391
RedSoil,Groundnut,15.52,77.59,7.14,14.72,184,4.69,0.41,0.12,10-26-26,7.439308583,6.911517654,95.765336,9.086696098,0.421211264
BlackSoil,Cotton,15.52,77.6,7.03,13.8,77,3.94,0.18,0.12,20-20,7.535372949,15.25914198,135.7932464,40.02233923,0.471155636
BlackSoil,Cotton,15.52,77.6,6.74,44.89,177,18.9,0.55,0.4,28-28,7.409470021,7.635416161,99.91553998,12.69462801,0.418066191
,,15.53,77.59,8.24,3.9,166,3.55,0.27,0.2,Urea,7.48950061,17.87859846,192.2488058,78.39704288,0.580742684
RedSoil,Cotton,15.52,77.6,7.58,34.7,64,7.92,0.24,0.18,28-28,7.546648626,12.24588856,129.6777741,20.99173868,0.405627362
RedSoil,Groundnut,15.52,77.59,7.58,11.09,185,5.81,0.33,0.25,Urea,7.373555509,8.50905336,156.2527009,38.86877867,0.472425775
RedSoil,Oil Crops,15.53,77.58,8.41,26.6,183,12.99,0.38,0.35,DAP,7.566287301,13.89858555,131.2621782,31.28255561,0.451828058
,,15.52,77.6,8.12,26.46,113,11.02,0.31,0.31,14-35-14,7.55422724,15.04002865,185.5953083,53.27666022,0.489623625
,,15.53,77.59,7.04,27.43,73,4.84,0.26,0.14,28-28,7.440894715,11.47832114,167.7819133,42.2185258,0.459921466
RedSoil,Cotton,15.52,77.59,6.56,20.4,59,8.4,0.18,0.13,20-20,7.378774393,9.013031495,132.6005892,32.27342367,0.461529576
RedSoil,Groundnut,15.53,77.59,8.14,19.22,218,5.85,0.33,0.17,10-26-26,7.37882123,7.100342744,97.70790588,15.97138856,0.441695588
RedSoil,Oil Crops,15.53,77.6,8.04,6.28,142,4.11,0.26,0.18,DAP,7.636426355,15.01072531,159.3667762,42.61483558,0.484386918
RedSoil,Cotton,15.53,77.6,8.18,29.28,181,12.38,0.47,0.33,14-35-14,7.504209831,11.29545642,126.6223529,20.28777893,0.405842774
RedSoil,Cotton,15.53,77.6,8.3,25.25,142,19.36,0.49,0.44,Urea,7.517162329,16.59689863,195.7670866,62.84657389,0.501599749
SandySoil,Groundnut,15.52,77.6,6.71,18.25,88,7.22,0.32,0.16,DAP,7.432134807,15.92029039,195.8401809,59.52978637,0.469754737
RedSoil,Groundnut,15.53,77.59,7.73,12.25,157,11.89,0.41,0.23,20-20,7.381511254,10.59298962,117.45838,28.68315626,0.445359457
RedSoil,Cotton,15.52,77.59,6.56,13.53,108,9.4,0.31,0.23,28-28,7.482787548,14.6607643,148.455046,38.81102343,0.441637094
RedSoil,Groundnut,15.51,77.59,7.49,25.32,86,10.74,0.27,0.21,14-35-14,7.423288168,11.05501961,104.6929152,23.8257547,0.442990061
RedSoil,Cotton,15.52,77.59,8.94,4.06,150,58.45,0.16,7.9,10-26-26,7.401711901,9.796743922,143.2901265,33.69335687,0.454681888
RedSoil,Cotton,15.52,77.59,8.11,7.7,96,6.99,0.21,0.23,Urea,7.575898674,10.9924675,137.240005,13.23042047,0.406191587
RedSoil,Groundnut,15.52,77.58,7.81,31.64,130,16.53,0.38,0.32,10-26-26,7.43353685,9.009250121,124.1155909,15.09649347,0.388077115
RedSoil,Cotton,15.5,77.6,8.44,6.86,73,8.45,0.16,0.4,DAP,7.452760651,13.3758433,177.3256462,52.88246781,0.493201439
RedSoil,Cotton,15.51,77.6,8.1,13.54,82,3.78,0.3,0.15,14-35-14,7.406896839,7.44767352,125.0793754,10.00794951,0.36856812
LoamySoil,Cotton,15.49,77.59,5.86,17.83,115,5.16,0.36,0.06,10-26-26,7.3734278,10.16949606,145.1235934,27.86322819,0.39965545
LoamySoil,Cotton,15.51,77.59,8.24,22.63,151,8.52,0.34,0.2,Urea,7.419027134,12.00347786,98.89590479,29.81208048,0.472069581
RedSoil,Groundnut,15.48,77.6,7.28,7.06,86,5.99,0.28,0.2,14-35-14,7.502090509,13.18155017,168.9849759,43.76467121,0.462423398
BlackSoil,Cotton,15.51,78.47,8.8,9.29,80,23.6,0.19,0.68,28-28,7.386228532,9.848712841,109.9081296,17.00237211,0.396175072
RedSoil,Cotton,15.51,77.59,8.07,22.67,134,3.27,0.35,0.17,10-26-26,7.41596002,8.599805243,143.7156654,16.74335536,0.379065793
RedSoil,Groundnut,15.49,77.6,7.4,22.52,64,3.21,0.28,0.14,Urea,7.462650793,12.69934913,165.4602551,43.18671547,0.455500202
RedSoil,Groundnut,15.49,77.61,6.35,15.01,80,13.64,0.28,0.12,DAP,7.349974565,9.121879938,137.3522611,30.58776122,0.433558522
RedSoil,Groundnut,15.49,77.6,8.34,14.65,69,4.73,0.23,0.2,20-20,7.38130349,9.687092331,97.43254522,20.25166806,0.439861995
RedSoil,Cotton,15.49,77.61,7.95,49.66,97,20.79,0.37,0.25,,7.375211425,8.524623843,143.9366056,22.88264922,0.392941624
RedSoil,Groundnut,15.49,77.62,8,43.21,132,24.44,0.43,0.42,Urea,7.402279248,12.27522375,208.3878058,67.45314605,0.53605322
RedSoil,Cotton,15.49,77.59,7.96,23.24,130,4.94,0.49,0.17,DAP,7.446750352,14.56198119,208.0039176,68.87918886,0.532038445
RedSoil,Cotton,15.49,77.6,7.98,15.19,153,8.52,0.38,0.2,14-35-14,7.402157815,15.18660887,182.5467478,55.72735728,0.458135294
RedSoil,Cotton,15.5,77.6,8.27,20.81,173,11.42,0.34,0.41,28-28,7.486722514,13.94572224,155.627807,39.60693976,0.44353184
BlackSoil,Cotton,15.49,77.61,7.12,21.66,109,4.7,0.37,0.13,Urea,7.545871977,13.93334587,167.1096211,43.29491356,0.467572627
RedSoil,Cotton,15.51,77.59,8.32,24.5,169,22.48,0.44,0.39,17-17-17,7.40521487,12.1800057,140.7089046,39.0136043,0.458261928
RedSoil,Cotton,15.51,77.59,6.8,31.3,88,4.12,0.24,0.12,20-20,7.505609168,15.90515247,188.5660764,55.725845,0.481145705
RedSoil,Cotton,15.5,77.6,7.63,31.4,109,8.52,0.44,0.25,Urea,7.418127986,9.058554407,129.3574076,33.78303025,0.485829847
RedSoil,Cotton,15.51,77.57,7.69,19.65,133,14.75,0.29,0.42,28-28,7.385171336,13.63426467,179.7487189,56.33172651,0.482552672
RedSoil,Groundnut,15.49,77.61,6.89,25.82,80,4.53,0.29,0.21,14-35-14,7.485877733,11.74662188,142.7981554,33.41143462,0.456411067
RedSoil,Cotton,15.49,77.59,8.02,47.27,209,13.15,0.52,0.38,DAP,7.380263687,9.757512126,130.0413567,33.24758322,0.462247138
RedSoil,Groundnut,15.49,77.61,7.02,56.74,99,55.78,0.33,0.34,17-17-17,7.563936269,18.38738178,226.5636074,84.59599928,0.578140728
RedSoil,Cotton,15.51,77.57,6.87,13.31,102,2.83,0.24,0.08,Urea,7.437532343,12.20832885,190.6694856,66.68032344,0.59108433
BlackSoil,Cotton,15.51,77.59,7.29,28.75,226,7.15,0.49,0.35,28-28,7.435664872,9.477331492,102.8916907,18.25062133,0.431098179
RedSoil,Groundnut,15.49,77.61,8.36,8.52,87,3.6,0.35,0.19,DAP,7.596967995,18.12365101,173.0256909,62.78774796,0.536201451
RedSoil,Cotton,15.51,77.6,7.87,19.88,89,3.25,0.33,0.19,17-17-17,7.361478884,11.28602585,151.1450474,29.0723222,0.38050648
RedSoil,Cotton,15.5,77.61,8.2,24.7,125,6.3,0.57,0.2,Urea,7.379203997,10.89731792,152.872623,35.80692379,0.428168089
RedSoil,Groundnut,15.49,77.49,7.81,12.23,103,3.95,0.49,0.2,28-28,7.362952617,16.57727681,202.3989391,65.02146779,0.456611385
RedSoil,Cotton,15.48,77.6,6.52,10.62,87,3.71,0.32,0.11,Urea,7.342047772,14.30214865,161.0655394,43.70020491,0.410932753
RedSoil,Groundnut,15.48,77.6,7.14,18.49,96,6.89,0.32,0.14,DAP,7.374117791,10.45821831,100.0555777,20.86982726,0.421752581
RedSoil,Cotton,15.5,77.57,8.27,12.65,147,10.15,0.28,0.27,20-20,7.397447002,10.89923432,129.5733938,31.02872043,0.441903622
BlackSoil,Groundnut,15.51,77.59,8.5,17.68,212,9.68,0.24,0.2,17-17-17,7.512115392,11.98536904,146.0114991,29.11093495,0.427417887
RedSoil,Cotton,15.51,77.59,8.41,39.51,138,15.86,0.39,0.3,DAP,7.659314232,13.2931717,154.7294137,34.22230158,0.471123707
RedSoil,Cotton,15.48,77.6,7.6,37.77,327,8.38,0.65,0.19,Urea,7.468950012,13.88534574,207.4379968,63.81581087,0.511781686
RedSoil,Cotton,15.48,77.6,7.63,53.85,74,22.55,0.3,0.3,20-20,7.742256536,24.30445113,217.593391,91.72831786,0.60973514
BlackSoil,Cotton,15.5,77.58,8.88,3.47,108,11,0.24,0.69,28-28,7.386135933,10.25271128,196.7828829,62.55016372,0.545448329
BlackSoil,Groundnut,15.5,77.58,8.14,32.23,113,12.08,0.34,0.33,14-35-14,7.445034025,10.13940305,142.8378051,17.62086185,0.367038206
RedSoil,Cotton,15.5,77.57,8.92,1.7,74,5.75,0.17,0.21,Urea,7.43298042,12.05955922,181.5613915,50.30384493,0.479104523
BlackSoil,Cotton,15.49,77.58,7.61,6.96,191,12.47,0.37,0.29,DAP,7.401303119,7.677736892,131.2923096,8.162874161,0.341970063
RedSoil,Groundnut,15.49,77.58,7.1,10.67,113,6.35,0.32,0.12,20-20,7.563002675,14.97343116,131.4273713,31.52587267,0.442988467
RedSoil,Cotton,15.5,77.57,8.6,4.86,153,9.07,0.23,0.32,28-28,7.426794654,11.41110235,116.1447664,24.52827453,0.424714297
RedSoil,Groundnut,15.5,77.58,7.64,10.8,107,5.64,0.23,0.17,DAP,7.538485094,11.27244978,135.893287,19.06953519,0.397914614
BlackSoil,Cotton,15.5,77.58,7.22,17.46,121,8.45,0.39,0.16,Urea,7.449026023,9.623059613,118.7933301,18.3930339,0.411925472
BlackSoil,Groundnut,15.49,77.58,6.73,21.34,79,11.4,0.22,0.17,14-35-14,7.420454514,13.01940276,139.7806506,37.96085922,0.449689536
BlackSoil,Cotton,15.49,77.58,8.54,6.54,77,4.36,0.33,0.14,28-28,7.404908144,8.553591185,109.4658052,22.1157941,0.452471623
BlackSoil,Cotton,15.49,77.58,8.44,12.94,123,14.13,0.42,0.48,Urea,7.348389762,10.64742022,150.2664953,25.68322291,0.366031991
RedSoil,Groundnut,15.49,77.58,8.87,3.11,96,3.76,0.24,0.19,14-35-14,7.412473197,13.94111333,170.4466367,41.54271292,0.415107513
BlackSoil,Groundnut,15.51,77.57,7.6,7.03,71,4.25,0.15,0.1,DAP,7.418450347,9.608947534,141.5786904,16.66197921,0.357476817
RedSoil,Cotton,15.5,77.58,6.83,18.4,110,5.54,0.28,0.11,17-17-17,7.405371401,6.98476836,100.7730728,5.775975526,0.38220115
RedSoil,Cotton,15.49,77.57,8.39,4.7,108,4.21,0.26,0.14,DAP,7.440051359,10.51930873,115.4207102,26.76672674,0.453638227
RedSoil,Groundnut,15.49,77.58,7.12,16.4,102,6.24,0.33,0.18,20-20,7.435724268,10.29100616,133.7114839,18.58222508,0.377664911
BlackSoil,Cotton,15.5,77.58,8.25,6.61,117,7.27,0.36,0.19,14-35-14,7.404197439,11.25433791,127.0649166,30.2293746,0.437996233
BlackSoil,Groundnut,15.49,77.58,8.14,15.4,123,20.15,0.29,0.36,28-28,7.417580033,12.46774877,146.709297,29.25206515,0.392126175
RedSoil,Cotton,15.48,77.6,7.74,20.28,64,11.29,0.22,0.17,Urea,7.465518295,11.61816626,148.7274149,30.83668433,0.431136068
RedSoil,Groundnut,15.49,77.61,8.07,24.66,140,9.55,0.33,0.29,DAP,7.374441335,8.234854328,135.405812,24.47902078,0.422858688
RedSoil,Groundnut,15.51,77.6,6.6,7.51,78,4.53,0.33,0.05,14-35-14,7.485489826,12.65052406,166.226318,43.49800403,0.467390119
BlackSoil,Cotton,15.5,77.58,7.87,14.66,158,6.13,0.43,0.22,20-20,7.350970817,10.39263726,98.76147385,18.80250463,0.405894398
RedSoil,Cotton,15.51,77.61,8.12,23.63,89,7.49,0.19,0.22,28-28,7.476472075,14.95963301,158.4696132,43.44306092,0.445333937
RedSoil,Cotton,15.48,77.65,7.75,3.46,73,4.28,0.22,0.31,Urea,7.436156421,8.433121023,146.7530462,27.59688772,0.437571508
RedSoil,Cotton,15.49,77.61,6.85,14.92,73,5.12,0.34,0.16,14-35-14,7.38068947,8.366303683,108.8092229,9.532777924,0.368539314
BlackSoil,Cotton,14.53,80.16,7.75,3.18,126,45.75,1.04,0.65,28-28,7.341476939,10.47206783,118.6537889,27.26578939,0.423643703
BlackSoil,Cotton,14.53,80.15,7.02,2.03,116,32.27,0.81,0.56,20-20,7.187444391,26.09040094,222.6443633,86.0103079,0.40898017
BlackSoil,Cotton,14.53,80.16,7.5,5.17,74,20.89,0.46,0.31,Urea,7.250014727,21.12194682,168.7162833,60.72864383,0.408795865
BlackSoil,Cotton,14.54,80.16,8.28,23.7,106,13.88,0.65,0.9,DAP,7.297786714,13.16049371,138.3700517,31.84086748,0.385644742
BlackSoil,Cotton,14.54,80.16,8.11,15.47,92,106.9,0.5,0.96,17-17-17,7.296695304,17.64145372,214.3663545,70.72785026,0.445477859
BlackSoil,Cotton,14.54,80.1,8.37,13.82,61,116.21,0.22,1.03,28-28,7.353792675,16.3972138,181.6920027,48.24598164,0.449790208
BlackSoil,Cotton,14.54,80.14,8.05,15.96,74,86.55,0.48,0.68,Urea,7.401279705,10.48538545,148.5428386,20.94592426,0.427996487
BlackSoil,Cotton,14.54,80.14,7.86,12.9,94,66,0.52,1.15,20-20,7.318826485,15.02096053,176.9153294,45.76283853,0.43610858
BlackSoil,Cotton,14.52,80.15,7.75,12.05,107,332.91,0.52,1.66,17-17-17,7.334558406,15.91546406,171.1732296,46.78728472,0.431381125
BlackSoil,Cotton,14.54,80.15,8.62,14.92,61,14.43,0.49,0.47,DAP,7.452439414,22.02755719,182.2861392,46.2016705,0.538034317
BlackSoil,Cotton,14.54,80.15,8.5,6.6,68,11.76,0.38,0.38,Urea,7.263583814,13.33981187,188.0508285,47.37307937,0.38843114
BlackSoil,Cotton,14.54,80.15,8.18,5.42,37,58.7,0.21,0.81,20-20,7.313998063,11.44572618,156.5174147,29.65622105,0.365422473
BlackSoil,Cotton,14.55,80.15,8.02,9.89,50,46.18,0.43,0.82,28-28,7.332804265,8.291183135,125.436886,10.39451853,0.370238304
BlackSoil,Cotton,14.54,80.14,6.62,10.12,44,32.35,0.25,0.31,10-26-26,7.272832899,12.47749738,157.3852113,34.37710975,0.389602535
BlackSoil,Cotton,14.54,80.14,5.62,11.06,75,47.83,0.28,0.55,Urea,7.324918078,8.451970446,94.11139782,12.37728263,0.408268339
BlackSoil,Cotton,14.53,80.15,7.38,13.38,102,18.69,0.71,0.72,DAP,7.381032966,10.15559494,73.23907967,13.4410739,0.450866215
BlackSoil,Cotton,14.53,80.15,7.68,4.46,90,53.21,1.03,0.82,20-20,7.261842336,18.59673818,181.9870174,62.8628776,0.42785144
BlackSoil,Cotton,14.53,80.15,8.12,12.5,91,241.55,0.38,1.11,14-35-14,7.122915079,24.93363066,221.8121398,84.23300561,0.399930836
BlackSoil,Cotton,14.53,80.15,8,6.33,66,108.13,0.45,0.42,10-26-26,7.442620077,17.03293333,168.7187901,34.6639524,0.490281447
BlackSoil,Cotton,14.53,80.15,7.35,3.63,60,75.68,0.4,0.55,20-20,7.316548367,14.67160243,157.5536019,33.62383878,0.409376201
BlackSoil,Cotton,14.54,80.14,7.95,30.16,110,103.99,0.57,1.51,28-28,7.310964798,12.76599453,126.8331473,23.71273468,0.397306696
BlackSoil,Cotton,14.54,80.14,7.78,26.11,95,74.52,0.37,1.48,Urea,7.3699503,18.16770782,209.8119263,68.28642128,0.509141522
BlackSoil,Cotton,14.54,80.14,7.9,16.81,67,260.43,0.43,1.51,28-28,7.403991519,13.33975959,169.7988081,45.06907807,0.480432543
BlackSoil,Cotton,14.54,80.14,7.85,45.62,117,153.92,0.68,1.81,Urea,7.384691566,17.58341706,177.4000331,41.07419985,0.504217237
BlackSoil,Cotton,14.54,80.13,8.1,12.57,59,30.82,0.96,0.78,DAP,7.367686638,21.47839857,249.3012158,92.35200221,0.584629156
BlackSoil,Cotton,14.54,80.13,9.14,34.37,151,297.77,0.38,3.2,14-35-14,7.084637174,22.25455829,235.2083428,85.51600305,0.39554715
BlackSoil,Cotton,14.49,80.06,8.4,4.25,89,126.93,0.5,0.77,28-28,7.593489932,20.25930852,234.2717738,61.77692788,0.594249557
BlackSoil,Cotton,14.48,80.08,7.92,6.88,54,234.97,0.5,1.07,20-20,7.348605593,16.77660005,173.1276587,38.97644308,0.413287224
BlackSoil,Cotton,14.49,80.08,7.86,8.4,191,454.04,0.85,1.26,10-26-26,7.3178403,17.93180244,170.3990565,37.73796094,0.454942235
BlackSoil,Cotton,14.5,80.08,7.8,13.35,289,837.21,1.02,2.4,DAP,7.533617815,33.3681999,231.5883866,77.25086034,0.610432766
BlackSoil,Cotton,14.49,80.07,7.62,5.11,112,82.72,0.79,0.55,14-35-14,7.799223432,47.77590513,283.1202977,101.723959,0.82060879
BlackSoil,Cotton,14.49,80.07,7.8,11.29,191,105.14,0.84,0.85,Urea,7.268858229,21.79844599,190.1598076,63.9677945,0.425036502
BlackSoil,Cotton,14.47,80.07,7.53,18.09,49,12.39,0.55,0.18,DAP,7.418131586,25.6922001,212.9245554,78.75572547,0.488940559
